step E time press T
0 30.925396277963500324 0 808.94431843066809051 298.14999999999901092
100 2029.3406554229436551 100 289.47373802756658279 170.76540089583903637
200 2504.8666079473941863 200 393.08117894358287003 168.95395490970230412
300 2708.0661701074113807 300 68.581568711624612433 194.91115548860219064
400 2950.5820250569886412 400 -113.64707258395145573 223.26955394519399078
500 3356.3380328161856596 500 -453.64420889605349885 239.53990561748264554
600 3606.8099691900065409 600 -82.10618934311574435 267.82331218881535051
700 3798.8059661680008503 700 82.081629815221774038 296.34959924426777889
800 4081.9655954647369072 800 439.70957225060953988 308.46342741300873058
900 4343.019836104092974 900 285.17216063096509515 303.12285683574975792
1000 4431.5776524523180342 1000 -224.42557141289847777 291.71614949535370442
1100 4102.6161656782769569 1100 -364.87569756392355202 302.75577457082363253
1200 4159.1720655484923554 1200 -272.899739590845968 290.4999746292008922
1300 4258.0217413861282694 1300 10.898788896430795958 289.10830048657044244
1400 4369.4449299061197962 1400 282.89252080700123315 294.10188498341682362
1500 4376.6133771440045166 1500 7.409740820032065578 300.78361880399842221
1600 4361.1951606363054452 1600 106.23674120993450742 295.60329391982492098
1700 4182.7755194904220843 1700 -33.418835216479870098 296.28627640233912643
1800 4094.3515334349867771 1800 -16.715111716420796739 294.25264821027946027
1900 4150.3535967663183328 1900 -155.13726498295946499 296.06416725525542688
2000 4319.1722288675027812 2000 -283.38649855348080564 296.73123838522457163
2100 4297.8995090400912886 2100 284.49837319552727877 305.90863494354073282
2200 4316.3896239782870907 2200 -450.07499187749687053 301.39829661276218076
2300 4220.0553961531695677 2300 -135.81072726163728248 298.15344970379516099
2400 4108.0511155780677655 2400 411.99498990426025102 298.86332236018392905
2500 4196.4790410145988062 2500 -92.419058004341380297 295.38742196990813227
2600 4272.3901364053672296 2600 -38.74203531358880781 298.61767305226715052
2700 4319.8457885225670907 2700 152.14528975805993127 299.65533161268109552
2800 4276.4800905460533613 2800 -234.91542989226351779 300.04995052402398414
2900 4179.8919735178897099 2900 -155.29878070666623557 299.43269801007568276
3000 4159.868412938370966 3000 -303.13810445299719731 295.68953347550836952
3100 4174.6029211010882136 3100 64.850687841872868944 295.49196417735834075
3200 4248.3448515106847481 3200 89.515382221524802731 296.60983340456806445
3300 4260.1610286179866307 3300 -188.64367327267734709 301.46794026080374351
3400 4246.1823205162700106 3400 -174.92847219158977623 300.74695218143466491
3500 4198.575103136459802 3500 -132.92325913698780937 296.3340034052079659
3600 4070.9955731828017633 3600 18.819504370132396076 300.19169245300827242
3700 4161.4010976678455336 3700 -182.91113370403235194 294.1671081051326837
3800 4251.130696997161067 3800 -56.784695199387961395 296.01043256509973389
3900 4273.6428295019468351 3900 90.448579043603956507 302.55793217755166324
4000 4226.1570943555498161 4000 322.50551804664746669 306.58338836034329233
4100 4307.5713112595221901 4100 51.384615123533635028 293.19270531444942662
4200 4150.5504112877861189 4200 -245.78238075450403244 298.3233170652406443
4300 4246.3597006936233811 4300 -125.53542463219957881 290.94991029244749825
4400 4343.9600021426285821 4400 -299.54281744053128023 292.4682442889134677
4500 4254.4766773881492554 4500 -296.63829720395381173 308.03173741116489737
4600 4321.0026856609056267 4600 -203.46926827364902124 304.04616066327554336
4700 4241.5197862575969339 4700 -314.94709621029727487 302.12699787800522699
4800 4220.0840550948305463 4800 -339.74418845542675172 293.98009048466661852
4900 4169.1335350419267343 4900 141.51828384824142404 296.41839831814087347
5000 4266.0638957568953629 5000 371.45751791461992752 296.14865925844441108
5100 4346.5014871758448862 5100 -33.058562560445899692 297.50316316988835297
5200 4291.4909176395085524 5200 6.7157003375213264462 301.74365606312051113
5300 4254.0963959436558071 5300 -21.252126915069993629 298.88814866125187564
5400 4244.0542558924498735 5400 161.532143370389349 292.35643439074510752
5500 4227.3633967478472186 5500 -257.24747884906275885 293.40037735573918098
5600 4290.5786047649125976 5600 72.746845572197585739 294.21770493322497941
5700 4291.986944422954366 5700 27.542862416530045522 299.69451856152659275
5800 4359.3595563288599806 5800 -293.08296125140310551 294.70879550391640578
5900 4287.3843047440786904 5900 5.2664345707387587581 295.30679396125992753
6000 4189.0669225845967958 6000 -134.96363437678016339 297.77173571699887589
6100 4212.3639787582460485 6100 381.32118636120668498 296.54380534931806324
6200 4263.0590285782218416 6200 168.74116695324531179 297.14046811054311092
6300 4261.254117129739825 6300 -325.59353819229852434 301.76502159353344723
6400 4332.0386961321255512 6400 33.140999976368945568 299.22617981552394895
6500 4304.097839257358828 6500 -34.350250507043902815 296.93116374284329595
6600 4208.0512973275544937 6600 -314.10733386377654597 297.12383759799456584
6700 4157.4322906552533823 6700 -208.24146614629432861 298.11193303053158843
6800 4184.6089950568630229 6800 326.1752653933167494 298.92890721937533272
6900 4237.8857159562012384 6900 21.22905318563224597 301.39132971937584671
7000 4351.1745735484655597 7000 -262.79366997543343132 296.14104718429706509
7100 4294.7511113475566162 7100 -254.92161606309991839 298.5346737387368421
7200 4211.471208459913214 7200 -270.13162746889258869 298.23540737826698432
7300 4217.5312822490013787 7300 31.657009923322060985 292.91570577708256451
7400 4203.6868795754207895 7400 95.491671823941899788 297.20787965254339724
7500 4261.0903212339590027 7500 43.765399871409563559 299.34340898116329299
7600 4289.0018780880782288 7600 -119.80548089626418573 299.80984975784269864
7700 4282.1591503448125877 7700 -219.37070816468548173 298.18819285217097104
7800 4193.5034722476884781 7800 -85.708068630589764325 300.1717212108185322
7900 4213.4930194394546561 7900 -25.435321803671232743 291.12736289393433253
8000 4142.8339707286922931 8000 -438.71480814790646718 287.10211484371427559
8100 4220.9848672874104523 8100 -168.20194133936718117 288.66808391199424477
8200 4177.0760479250138815 8200 240.91648570092854698 299.59308408969616266
8300 4259.3515873598835242 8300 -306.26162131968271751 299.12765815528871371
8400 4308.757503855487812 8400 -144.67006032040532659 298.63784669561874807
